"event_id","disease","serotype","lat","lon","locality","country","region","location","observation_date","report_date","display_date","species","diagnosis_source","humans_affected","humans_deaths"
313290,"Influenza - Avian","H5N2 HPAI",23.66625,120.30976,"Yuanchang Township","Taiwan (Province of China)","Asia","Yuanchang Township, Taiwan (Province of China), Asia","2022-02-02","2022-02-14","2022-02-02","Domestic,Goose","OIE",,
313289,"Influenza - Avian","H5N2 HPAI",23.654103,120.454558,"Dapi Township","Taiwan (Province of China)","Asia","Dapi Township, Taiwan (Province of China), Asia","2022-01-21","2022-02-15","2022-01-21","Domestic,Unspecified bird","OIE",,
313288,"Influenza - Avian","H5N2 HPAI",23.638,120.485,"DounanTownship","Taiwan (Province of China)","Asia","DounanTownship, Taiwan (Province of China), Asia","2022-01-11","2022-02-14","2022-01-11","Domestic,Goose","OIE",,
313287,"Influenza - Avian","H5N2 HPAI",23.679,120.58,"Gukeng  Township","Taiwan (Province of China)","Asia","Gukeng  Township, Taiwan (Province of China), Asia","2022-01-25","2022-02-15","2022-01-25","Domestic,Unspecified bird","OIE",,
313286,"Influenza - Avian","H5N2 HPAI",23.977,120.403,"Erlin Township","Taiwan (Province of China)","Asia","Erlin Township, Taiwan (Province of China), Asia","2022-01-24","2022-02-14","2022-01-24","Domestic,Chicken","OIE",,
312800,"Influenza - Avian","H5N2 HPAI",23.863319,120.345549,"Dacheng Township","Taiwan (Province of China)","Asia","Dacheng Township, Taiwan (Province of China), Asia","2022-01-13","2022-02-06","2022-01-13","Domestic,Chicken","OIE",,
312799,"Influenza - Avian","H5N2 HPAI",23.979372,120.384518,"Fangyuan Township","Taiwan (Province of China)","Asia","Fangyuan Township, Taiwan (Province of China), Asia","2022-01-04","2022-02-06","2022-01-04","Domestic,Chicken","OIE",,
312798,"Influenza - Avian","H5N2 HPAI",23.840771,120.423622,"Zhutang Township","Taiwan (Province of China)","Asia","Zhutang Township, Taiwan (Province of China), Asia","2022-01-07","2022-02-06","2022-01-07","Domestic,Chicken","OIE",,
313526,"Influenza - Avian","H5N1 HPAI",25.59,85.0966,"Poultry Research and Training Centre, BASU, Patna","India","Asia","Poultry Research and Training Centre, BASU, Patna, India, Asia","2022-01-18","2022-02-18","2022-01-18","Domestic,Unspecified bird","OIE",,
311348,"Influenza - Avian","H5N1 HPAI",6.285502,1.248623,"Adeticop? (Tounoukoutchi)","Togo","Africa","Adeticop? (Tounoukoutchi), Togo, Africa","2022-01-01","2022-01-14","2022-01-01","Domestic,Chicken","OIE",,
314081,"Influenza - Avian","H5N1 HPAI",40.1907,141.7756,"Kuji-City1","Japan","Asia","Kuji-City1, Japan, Asia","2022-02-11","2022-02-18","2022-02-11","Domestic,Duck","OIE",,
312207,"Influenza - Avian","H5N1 HPAI",35.7079,140.5643,"Sousa-City1","Japan","Asia","Sousa-City1, Japan, Asia","2022-01-25","2022-01-28","2022-01-25","Domestic,Unspecified bird","OIE",,
311866,"Influenza - Avian","H5N1 HPAI",35.6657,140.3181,"Yachimata-City1","Japan","Asia","Yachimata-City1, Japan, Asia","2022-01-18","2022-01-24","2022-01-18","Domestic,Unspecified bird","OIE",,
